latitude_deg,longitude_deg_east,elevation_m,hemisphere
84.875,205.125,-2768.0,North
84.875,207.125,-2774.5,North
84.875,209.125,-2792.5,North
84.875,211.125,-2740.0,North
84.875,213.125,-2710.5,North
84.875,215.125,-2710.5,North
84.875,217.125,-2724.5,North
84.875,219.125,-2756.5,North
84.875,221.125,-2727.5,North
84.875,223.125,-2673.5,North
84.875,225.125,-2472.0,North
84.875,227.125,-1634.0,North
84.875,229.125,-865.5,North
84.875,231.125,-452.0,North
84.875,233.125,-623.5,North
84.875,235.125,-120.0,North
84.875,237.125,-119.5,North
84.875,239.125,-102.0,North
84.875,241.125,37.0,North
84.875,243.125,-715.0,North
84.875,245.125,-841.5,North
84.875,247.125,-1936.0,North
84.875,249.125,-2038.5,North
84.875,251.125,-2069.0,North
84.875,253.125,-2180.5,North
84.875,255.125,-1459.5,North
84.875,257.125,-832.0,North
84.875,259.125,-1493.0,North
84.875,261.125,-2050.5,North
84.875,263.125,-1765.0,North
84.875,265.125,-2047.0,North
84.875,267.125,-2068.0,North
84.875,269.125,-2111.0,North
84.875,271.125,-2056.5,North
84.875,273.125,-1927.5,North
84.875,275.125,-762.0,North
84.875,277.125,-931.0,North
84.875,279.125,-1147.0,North
84.875,281.125,449.0,North
84.875,283.125,521.5,North
84.875,285.125,385.0,North
84.875,287.125,234.5,North
84.875,289.125,-31.5,North
84.875,291.125,-366.0,North
84.875,293.125,-406.0,North
84.875,295.125,-572.5,North
84.875,297.125,-671.0,North
84.875,299.125,-581.5,North
84.875,301.125,-893.5,North
84.875,303.125,-807.0,North
84.875,305.125,-722.0,North
84.875,307.125,-720.0,North
84.875,309.125,-736.0,North
84.875,311.125,-286.5,North
84.875,313.125,-564.5,North
84.875,315.125,-457.5,North
84.875,317.125,-71.0,North
84.875,319.125,-776.5,North
84.875,321.125,-952.0,North
84.875,323.125,-893.0,North
84.875,325.125,-543.0,North
84.875,327.125,-684.0,North
84.875,329.125,-1231.0,North
84.875,331.125,-1341.0,North
84.875,333.125,-1335.5,North
84.875,335.125,-1341.0,North
84.875,337.125,-1324.0,North
84.875,339.125,-1258.0,North
84.875,341.125,-1079.5,North
84.875,343.125,-1010.5,North
84.875,345.125,-321.0,North
84.875,347.125,-1130.5,North
84.875,349.125,-1356.0,North
84.875,351.125,-1273.5,North
84.875,353.125,-1280.5,North
84.875,355.125,-1271.5,North
84.875,357.125,-1286.0,North
84.875,359.125,-1332.5,North
82.875,1.125,-820.5,North
82.875,3.125,-884.0,North
82.875,5.125,-526.5,North
82.875,7.125,-156.0,North
82.875,9.125,113.5,North
82.875,11.125,505.0,North
82.875,13.125,-709.5,North
82.875,15.125,-766.5,North
82.875,17.125,-710.0,North
82.875,19.125,204.0,North
82.875,21.125,80.0,North
82.875,23.125,89.5,North
82.875,25.125,241.5,North
82.875,27.125,-324.5,North
82.875,29.125,-1004.0,North
82.875,31.125,-1042.5,North
82.875,33.125,-903.0,North
82.875,35.125,-1169.5,North
82.875,37.125,-1208.5,North
82.875,39.125,-1083.0,North
82.875,41.125,-1108.0,North
82.875,43.125,-1120.5,North
82.875,45.125,-972.0,North
82.875,47.125,-879.0,North
82.875,49.125,-74.0,North
82.875,51.125,906.0,North
82.875,53.125,382.0,North
82.875,55.125,-834.5,North
82.875,57.125,-1293.5,North
82.875,59.125,-848.5,North
82.875,61.125,-2226.0,North
82.875,63.125,-2873.0,North
82.875,65.125,-2703.0,North
82.875,67.125,-2681.5,North
82.875,69.125,-1921.0,North
82.875,71.125,-816.5,North
82.875,73.125,-608.0,North
82.875,75.125,-937.5,North
82.875,77.125,-1145.5,North
82.875,79.125,-904.5,North
82.875,81.125,-633.5,North
82.875,83.125,-553.0,North
82.875,85.125,-498.5,North
82.875,87.125,-749.0,North
82.875,89.125,-471.5,North
82.875,91.125,-122.0,North
82.875,93.125,-141.5,North
82.875,95.125,-44.0,North
82.875,97.125,-935.0,North
82.875,99.125,-2589.5,North
82.875,101.125,-315.5,North
82.875,103.125,914.0,North
82.875,105.125,446.0,North
82.875,107.125,6.0,North
82.875,109.125,-151.0,North
82.875,111.125,-53.0,North
82.875,113.125,-360.5,North
